bc,bn,md,ttm,duration,cr %,m,,,,,,,ty %,tn
A07112,107央甲12,109/12/17,1.55,1.54,0.5,1-Jan,0.485,100.0228,-,-,-,-,0.4929,100.0107
A08101,108央債甲1,113/01/14,4.63,4.54,0.625,1-Jan,0.5893,100.1621,0.5851,100.1812,0.5852,100.1808,0.587,100.1728
A08102,108央債甲2,128/01/28,19.67,17.55,1.125,1-Jan,-,-,-,-,-,-,0.9687,102.786
A08103,108央債甲3,118/02/13,9.71,9.31,0.75,1-Jan,0.714,100.336,0.7118,100.3566,0.7117,100.3575,0.727,100.2139
A08104,108央債甲4,128/03/04,19.76,17.65,1.125,1-Jan,1.01,102.0499,0.91,103.8718,-,-,0.9703,102.768
A08105,108央債甲5,138/05/17,29.97,25.37,1.125,1-Jan,-,-,-,-,-,-,1.0533,101.8328
A89107,89央債甲七,109/01/18,0.64,0.64,6.25,1-Jan,-,-,0.4,103.7193,-,-,0.4814,103.6645
A89113,89央債甲13,109/11/14,1.46,1.4,5.375,1-Jan,-,-,-,-,-,-,0.4908,107.0862
A89201,89央債乙一,109/04/21,0.9,0.89,5.875,1-Jan,-,-,-,-,-,-,0.4842,104.793
A90102,90央債甲二,110/02/13,1.71,1.66,5,1-Jan,-,-,-,-,-,-,0.4968,107.6446
A90104,90央債甲四,110/05/08,1.94,1.89,4.625,1-Jan,-,-,-,-,-,-,0.5047,107.9334
A90105,90央債甲五,120/07/17,12.13,10.03,3.625,1-Jan,-,-,-,-,-,-,0.783,132.7668
A90108,90央債甲八,110/11/13,2.46,2.34,3.875,1-Jan,-,-,-,-,-,-,0.5245,108.1573
A90201,90央債乙一,110/09/11,2.29,2.17,4,1-Jan,-,-,-,-,-,-,0.5182,107.8862
A91103,91央債甲三,111/02/05,2.69,2.56,4.25,1-Jan,-,-,-,-,-,-,0.5315,109.8946
A91107,91央債甲七,111/08/16,3.21,3,3.75,1-Jan,-,-,-,-,-,-,0.5443,110.1833
A92103,92央債甲三,112/02/18,3.72,3.57,2.5,1-Jan,-,-,-,-,-,-,0.5569,107.1394
A93103,93央債甲三,113/02/10,4.7,4.41,3,1-Jan,-,-,-,-,-,-,0.5874,111.1534
A93106,93央債甲六,123/05/27,14.99,12.16,3.875,1-Jan,-,-,-,-,-,-,0.8502,142.408
A93109,93央債甲九,113/11/18,5.47,5.05,3,1-Jan,-,-,-,-,-,-,0.6137,112.7985
A94103,94央債甲三,114/02/25,5.74,5.39,2.375,1-Jan,-,-,-,-,-,-,0.6228,109.8527
A94105,94央債甲五,109/05/13,0.96,0.95,2.25,1-Jan,-,-,-,-,-,-,0.4848,101.675
A94108,94央債甲八,109/11/16,1.47,1.44,2,1-Jan,-,-,-,-,-,-,0.491,102.1972
A95102,95央債甲二,115/02/24,6.74,6.34,1.875,1-Jan,0.7,107.7077,0.55,108.7421,-,-,0.6485,108.0615
A95107,95央債甲7,115/11/10,7.45,6.88,2.125,1-Jan,-,-,-,-,-,-,0.6635,110.5861
A96102,96央債甲2,116/02/14,7.71,7.17,2,1-Jan,-,-,-,-,-,-,0.6697,109.9656
A96107,96央債甲7,116/11/16,8.47,7.54,3,1-Jan,-,-,-,-,-,-,0.6849,118.9764
A97102,97央債甲2,117/02/14,8.71,7.9,2.5,1-Jan,-,-,-,-,-,-,0.6925,115.2289
A97105,97央債甲5,117/08/14,9.21,8.18,2.625,1-Jan,-,-,-,-,-,-,0.7056,117.0522
A98102,98央債甲2,118/02/16,9.72,8.83,2.125,1-Jan,-,-,-,-,-,-,0.7219,113.1207
A98105,98央債甲5,118/08/13,10.21,9.15,2.125,1-Jan,-,-,-,-,-,-,0.7363,113.604
A98106,98央債甲6,108/09/09,0.28,0.28,1.375,1-Jan,-,-,-,-,-,-,0.4775,100.2494
A99102,99央債甲2,129/01/28,20.67,16.95,2.25,1-Jan,-,-,-,-,-,-,0.9701,123.8597
A99104,99央債甲4,119/02/22,10.74,9.77,1.875,1-Jan,-,-,-,-,-,-,0.7529,111.5279
A99105,99央債甲5,109/03/10,0.78,0.77,1.375,1-Jan,-,-,0.42,100.7404,-,-,0.483,100.691
A99107,99央債甲7,119/08/12,11.2,10.12,1.75,1-Jan,-,-,-,-,-,-,0.7671,110.5116
A99108,99央債甲8,109/09/21,1.31,1.29,1.125,1-Jan,-,-,-,-,-,-,0.4886,100.8299
A99109,99央債甲9,129/12/28,21.58,17.68,2.125,1-Jan,-,-,-,-,-,-,0.9847,122.0701
